title,year,rating,genre,synopsis
Gladiador,2000,8.5,"Ação, Aventura, Drama",Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.
Parasita,2019,8.5,"Drama, Suspense","Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente."
Psicose,1960,8.5,"Drama, Mistério, Suspense","Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe."
O Rei Leão,1994,8.5,"Animação, Aventura, Drama, Família, Musical",Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.
Túmulo dos Vagalumes,1988,8.5,"Animação, Drama, Guerra",Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.
Os Infiltrados,2006,8.5,"Drama, Suspense",Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.
Whiplash: Em Busca da Perfeição,2014,8.5,Drama,Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.
Harakiri,1962,8.6,"Drama, Mistério","Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado."
O Grande Truque,2006,8.5,"Drama, Ficção científica, Mistério, Suspense","Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro."
A Outra História Americana,1998,8.5,Drama,Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.
O Profissional,1994,8.5,"Ação, Drama, Suspense","Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida."
Homem-Aranha: Através do Aranhaverso,2023,8.5,"Ação, Animação, Aventura, Família, Fantasia","Viajando pelo multiverso, Miles Morales conhece um novo time de Pessoas-Aranha, formado por heróis de diversas dimensões. Mas quando os heróis entram em conflito sobre como lidar com uma nova ameaça, Miles se vê em um impasse."
Casablanca,1942,8.5,"Drama, Guerra, Romance",O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.
Cinema Paradiso,1988,8.5,"Drama, Romance","Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista."
Intocáveis,2011,8.5,"Comédia, Drama","Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele."
Os Suspeitos,1995,8.5,"Drama, Mistério","O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia."
Alien - O 8º Passageiro,1979,8.5,Ficção científica,"Depois de investigar uma transmissão misteriosa de origem desconhecida, a tripulação de uma nave espacial comercial encontra uma forma de vida mortal."
Tempos Modernos,1936,8.5,"Comédia, Drama, Romance",Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.
Janela Indiscreta,1954,8.5,"Drama, Mistério, Suspense",Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.
Django Livre,2012,8.5,N/A,"Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi."
Era uma Vez no Oeste,1968,8.5,Drama,Um misterioso estranho se junta com um bandido para proteger a uma viúva.
Luzes da Cidade,1931,8.5,"Comédia, Drama, Romance","Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica."
Apocalypse Now,1979,8.4,"Drama, Guerra, Mistério",Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.
WALL·E,2008,8.4,"Animação, Aventura","Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade."
Amnésia,2000,8.4,"Drama, Mistério, Suspense",Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.
Duna: Parte 2,2024,8.5,"Ação, Aventura, Drama, Ficção científica","Diante da difícil escolha entre o amor de sua vida e o destino do universo conhecido, Paul Atreides, agora ao lado de Chani e dos Fremen, dará tudo de si para evitar o futuro terrível que só ele pode prever."
Os Caçadores da Arca Perdida,1981,8.4,"Ação, Aventura","Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro."
Vingadores: Guerra Infinita,2018,8.4,"Ação, Aventura, Ficção científica",Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.
A Vida dos Outros,2006,8.4,"Drama, Mistério, Suspense","Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas."
Crepúsculo dos Deuses,1950,8.4,Drama,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.
Homem-Aranha: No Aranhaverso,2018,8.4,Ação,O adolescente Miles Morales se torna o Homem-Aranha de seu universo e deve se juntar a cinco indivíduos com poderes de aranha de outras dimensões para impedir uma ameaça para todas as realidades.
Testemunha de Acusação,1957,8.4,"Drama, Mistério, Suspense",Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.
Glória Feita de Sangue,1957,8.4,"Drama, Guerra","Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los."
O Iluminado,1980,8.4,Drama,"Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro."
O Grande Ditador,1940,8.4,"Comédia, Drama, Guerra",O ditador Adenoid Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição por seu regime.
Bastardos Inglórios,2009,8.4,"Aventura, Drama, Guerra","Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema."
Repetente,2023,8.7,"Biografia, Drama",A história da vida real do oficial do IPS Manoj Kumar Sharma e do oficial do IRS Shraddha Joshi.
Aliens: O Resgate,1986,8.4,"Ação, Aventura, Ficção científica",Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.
Batman: O Cavaleiro das Trevas Ressurge,2012,8.4,"Ação, Drama, Suspense","Passaram-se oito anos desde a morte de Harvey Dent e o Batman, ao assumir a culpa pela morte do promotor, desapareceu. Agora, ele terá de lidar com a chegada da Mulher Gato e de Bane em Gotham City."
Viva: A Vida é uma Festa,2017,8.4,"Animação, Aventura, Drama, Família, Fantasia, Mistério","O aspirante a músico Miguel, confrontado com a proibição ancestral da música pela sua família, entra na Terra dos Mortos para encontrar o seu tataravô, um cantor lendário."
Amadeus,1984,8.4,"Biografia, Drama","A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado."
Vingadores: Ultimato,2019,8.4,"Ação, Aventura, Ficção científica","Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas. E com a ajuda de aliados, os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem."
Gênio Indomável,1997,8.3,"Drama, Romance","Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito."
Toy Story,1995,8.3,"Animação, Aventura, Comédia, Família, Fantasia","Um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. Quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele."
Céu e Inferno,1963,8.4,"Drama, Mistério, Suspense",Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.
Oldboy,2003,8.3,"Ação, Drama, Mistério, Suspense","Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador."
Dr. Fantástico,1964,8.3,"Comédia, Guerra",Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.
O Barco: Inferno no Mar,1981,8.4,"Drama, Guerra","O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror."
Coração Valente,1995,8.3,"Biografia, Drama, Guerra","Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra."
Your Name,2016,8.4,"Animação, Drama, Fantasia, Romance","Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?"
Princesa Mononoke,1997,8.3,N/A,Um príncipe sofre com uma maldição mortal e parte em busca da cura. Ele acaba indo parar no meio da batalha entre uma cidade mineradora e os animais da floresta.
Beleza Americana,1999,8.3,Drama,Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.
3 Idiotas,2009,8.4,"Comédia, Drama","Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas."
Coringa,2019,8.3,"Drama, Suspense",Um comediante falido enlouquece e se torna um assassino psicopata.
Cafarnaum,2018,8.4,Drama,"Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência."
Era uma Vez na América,1984,8.3,Drama,"Dois amigos leais crescem juntos cometendo pequenos crimes nas ruas do Lower East Side, em Manhattan, mas essa parceria com o tempo se desfaz em morte e mistério."
Cantando na Chuva,1952,8.3,"Comédia, Musical, Romance",Uma produtora de cinema mudo e seu elenco enfrentam uma transição difícil para o cinema falado.
Vá e Veja,1985,8.3,"Drama, Guerra, Suspense","Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial."
Réquiem para um Sonho,2000,8.3,Drama,As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.
Star Wars: Episódio VI - O Retorno de Jedi,1983,8.3,N/A,"Depois de resgatar Han Solo de Jabba, o Hutt, a Aliança Rebelde tenta destruir a segunda Estrela da Morte, enquanto Luke luta para ajudar Darth Vader a voltar do lado negro."
Toy Story 3,2010,8.3,"Animação, Aventura, Comédia, Família, Fantasia","Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy."
A Caça,2012,8.3,Drama,"Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente."
Viver,1952,8.3,Drama,"Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida."
Brilho Eterno de uma Mente sem Lembranças,2004,8.3,"Drama, Ficção científica, Romance","Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas."
Incêndios,2010,8.3,"Drama, Guerra, Mistério",Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.
Se Meu Apartamento Falasse,1960,8.3,Comédia,"Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio."
Lawrence da Arábia,1962,8.3,"Aventura, Biografia, Drama, Guerra","A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos."
2001: Uma Odisséia no Espaço,1968,8.3,"Aventura, Ficção científica","Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000."
Cães de Aluguel,1992,8.3,Suspense,"Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia."
Scarface,1983,8.3,Drama,"Em 1980, um imigrante cubano se torna o maior traficante de cocaína de Miami."
Fogo Contra Fogo,1995,8.3,"Ação, Drama",Um grupo de ladrões de banco suspeitam que a polícia estejam atrás deles quando deixam uma pista no seu último roubo.
Pacto de Sangue,1944,8.3,"Drama, Mistério, Suspense","Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador."
Intriga Internacional,1959,8.3,"Aventura, Drama, Mistério, Suspense",Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.
Up: Altas Aventuras,2009,8.3,"Animação, Aventura, Comédia, Drama, Família","Carl Fredricksen, de 78 anos, viaja para a América do Sul com sua casa, inadvertidamente levando um menino com ele."
"M, o Vampiro de Dusseldorf",1931,8.3,"Mistério, Suspense","Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana."
Cidadão Kane,1941,8.2,"Drama, Mistério","Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou."
Nascido para Matar,1987,8.2,"Drama, Guerra",Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.
Um Corpo que Cai,1958,8.2,"Mistério, Romance, Suspense",Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.
O Fabuloso Destino de Amélie Poulain,2001,8.3,"Comédia, Romance","Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor."
Como Estrelas na Terra,2007,8.3,"Drama, Família","Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola."
A Separação,2011,8.3,Drama,"Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer."
O Sol é para Todos,1962,8.3,Drama,"Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito."
Duro de Matar,1988,8.2,"Ação, Suspense","John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles."
Indiana Jones e a Última Cruzada,1989,8.2,"Ação, Aventura","Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler."
Golpe de Mestre,1973,8.2,"Comédia, Drama",Dois golpistas se reúnem para obter o melhor golpe.
Laranja Mecânica,1971,8.2,Ficção científica,"No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados."
Metrópolis,1927,8.3,"Drama, Ficção científica","Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora."
